"A-1.2";"arabica nestle 1.2"
"A-13-0%WM";"Arabica screen 13 wet mill"
"A-16-0%WM";"Ar SC16-0.1%BB-0.1FM"
"A-18-0%WM";"arabica screen 18 wet mill"
"A-B G1-I";"Ara black grade1 intramove"
"A-B G2-I";"ara black grade 2 intramove"
"A-CHHL";"Ar. HL cherry"
"A-CHLL";"Ar. LL cherry"
"A-CHLL-PRED";"Ar. LL green cher - Pre.dried"
"A-CH-PULP";"Ar. Cherry Pulp"
"A-DAMAGE";"Arabica damage"
"A-DF";"arabica dried fruit"
"A-DF-I";"Ara dried fruit intra move"
"A-FAQ 03RD";"Arabica FAQ third party"
"A-G1 STD LG";"Arabica G1 standard low grade"
"A-G1-STD LG-I";"arabica grade 1 std low graded"
"A-G2 STD LG";"Arabica std low grade grade 2"
"A-G2-STD LG-I";"arabica grade 2 std low graded"
"A-G3";"Ara-G3"
"A-GRADE 3";"Arabica grade 3"
"A-GS G1-I";"ara gravity grade 1 intramove"
"A-GS G2-I";"ara gravity grade2 intramomve"
"AHGDL-13STD";"Ar. HGDL SC13 STD Mill"
"AHGDL-16-20";"Ar. HGDL S16-20 defects"
"AHGDL-16STD";"Ar. HGDL SC16 STD Mill"
"AHGDL-18-20";"Ar. HGDL-Sc 18-20% defect"
"AHGDL-DUST";"Ar. HGDL Dust"
"AHGDL-HUSK";"Ar. HGDL Husks"
"AHGDL-STO";"Ar. HGDL Stone"
"AHGDL-SW";"Ar. HGDL Sweepings"
"A-PAR";"Parchment arabica"
"A-PAR-D";"Parchment arabica Dried"
"A-PARHL-DA";"Ar. HL dried parch A"
"A-PARHL-DB";"Ar. HL dried parch B"
"A-PARHL-PRED";"Ar. HL wet parch - Pre.dried"
"A-PARHL-WA";"Ar. HL wet parch A"
"A-PARHL-WB";"Ar. HL wet parch B (re-passed)"
"A-PARLL-DA";"Ar. LL dried parch A"
"A-PARLL-DB";"Arabica dried parchment B"
"A-PARLL-PRED";"Ar. LL wet parch - Pre.dried"
"A-PARLL-WA";"Ar. LL wet parch A"
"A-PARLL-WB";"Arabica LL wet parchment B"
"A-PD";"Ar. Peaberries"
"A-REJECT T2";"Arabica reject type II"
"A-S13 REGULAR";"Ara screen 13 regular"
"A-S13 REGULAR-OLD";"Arabica regular Scr13 old crop"
"A-S13-I";"Ar. grade S13 intra move"
"A-S13-OLD";"Arabica S13 graded old crop"
"A-S14-180";"Arabica S14 180 defect"
